t_ms,frame_ms,fps
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
0.000,0.000000,0.000
